"행정구역(시군구)별","항목","단위","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"보은군","여자인구수[명]","명","22849","22624","22101","21455","20860","20059","19345","18951","18484","18100","17610","17485","17432","17483","17373","17270","17220","17148","17156","17128","17044","16846","16418","16120","15804","15578","15339","15024",
"옥천군","총인구수[명]","명","63075","62708","61845","60798","59515","58461","57505","56634","55610","54923","54608","54475","54117","54025","53496","53244","52763","52469","52404","52267","51766","51465","51023","50527","50093","49520","48891","48204",
"옥천군","남자인구수[명]","명","31656","31486","31109","30571","29975","29457","28970","28579","28083","27695","27554","27468","27256","27174","26965","26784","26557","26369","26334","26251","26049","25911","25707","25489","25242","24974","24718","24384",
"옥천군","여자인구수[명]","명","31419","31222","30736","30227","29540","29004","28535","28055","27527","27228","27054","27007","26861","26851","26531","26460","26206","26100","26070","26016","25717","25554","25316","25038","24851","24546","24173","23820",
"영동군","총인구수[명]","명","61205","60890","60094","58627","57184","55752","54036","52597","51800","50819","50131","50276","50426","50523","50621","50663","50539","50803","50693","50552","50240","49715","48738","47475","45773","44956","44195","43551",
"영동군","남자인구수[명]","명","30350","30295","29921","29193","28513","27772","26944","26238","25863","25354","25007","25084","25183","25173","25230","25268","25102","25255","25276","25248","24960","24663","24181","23624","22810","22486","22146","21933",
"영동군","여자인구수[명]","명","30855","30595","30173","29434","28671","27980","27092","26359","25937","25465","25124","25192","25243","25350","25391","25395","25437","25548","25417","25304","25280","25052","24557","23851","22963","22470","22049","21618",
"증평군","총인구수[명]","명","","","","","","","31310","30899","30607","30483","31145","32179","33164","33533","34009","34279","34546","34771","36671","37308","37783","37317","37392","36807","36426","37262","37484","37171",
"증평군","남자인구수[명]","명","","","","","","","15850","15632","15553","15475","15795","16327","17041","17264","17480","17511","17606","17821","18803","19110","19446","19229","19350","19129","18993","19387","19523","19370",
"증평군","여자인구수[명]","명","","","","","","","15460","15267","15054","15008","15350","15852","16123","16269","16529","16768","16940","16950","17868","18198","18337","18088","18042","17678","17433","17875","17961","17801",
"진천군","총인구수[명]","명","59031","59177","58979","60121","60309","59699","59724","60347","60155","60111","60154","60715","61456","62094","63051","63458","64606","65174","67981","69950","73677","78218","81084","83718","85176","86147","86254","86537",
"진천군","남자인구수[명]","명","30104","30166","29997","30579","30703","30402","30525","30845","30805","30933","31001","31325","31833","32173","32604","32862","33519","33815","35290","36387","38314","40839","42388","43836","44715","45488","45652","45723",
"진천군","여자인구수[명]","명","28927","29011","28982","29542","29606","29297","29199","29502","29350","29178","29153","29390","29623","29921","30447","30596","31087","31359","32691","33563","35363","37379","38696","39882","40461","40659","40602","40814",
"괴산군","총인구수[명]","명","47068","46272","45468","44380","43126","41827","40411","39586","38595","37570","36873","36566","36775","36827","37333","37713","38059","38351","38787","38973","39054","39133","39163","39393","38122","37055","36590","36252",
"괴산군","남자인구수[명]","명","23793","23382","23043","22393","21760","21097","20448","19991","19487","18959","18617","18422","18520","18615","18896","19139","19341","19488","19727","19773","19855","19924","20013","20225","19612","19082","18872","18782",
"괴산군","여자인구수[명]","명","23275","22890","22425","21987","21366","20730","19963","19595","19108","18611","18256","18144","18255","18212","18437","18574","18718","18863","19060","19200","19199","19209","19150","19168","18510","17973","17718","17470",
"음성군","총인구수[명]","명","87104","87023","87747","87956","87289","86562","85771","85638","85969","86789","88355","89542","89716","91093","91644","92980","93505","95324","96396","97787","97306","95830","94982","93153","92197","92058","91183","91236",
"음성군","남자인구수[명]","명","44664","44611","44999","45045","44840","44546","44259","44340","44561","45029","45962","46643","46903","47768","48030","48743","48991","49919","50648","51372","51156","50546","50264","49388","48883","48849","48454","48618",
